+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| thir_abstract_const ...................................................  | 33.31ms   | 0.003           | 33.31ms  | 20934      | 0          | 0.00ns       |
| mir_pass_add_call_guards ..............................................  | 33.15ms   | 0.003           | 33.15ms  | 75474      | 0          | 0.00ns       |
| cgu_partitioning_internalize_symbols ..................................  | 32.44ms   | 0.003           | 32.44ms  | 1          | 0          | 0.00ns       |
| mir_pass_match_branch_simplification ..................................  | 31.93ms   | 0.003           | 31.93ms  | 20232      | 0          | 0.00ns       |
| AST_validation ........................................................  | 30.69ms   | 0.003           | 30.69ms  | 1          | 0          | 0.00ns       |
| hir_crate_items .......................................................  | 29.72ms   | 0.003           | 580.19ms | 1          | 31         | 0.00ns       |
| mir_pass_simplify_const_condition_after_const_prop ....................  | 29.68ms   | 0.003           | 29.68ms  | 20232      | 0          | 0.00ns       |
| trait_impls_of ........................................................  | 29.53ms   | 0.003           | 54.64ms  | 283        | 34331048   | 15.86ms      |
| mir_pass_simplify_locals_final ........................................  | 29.43ms   | 0.003           | 29.43ms  | 20232      | 0          | 0.00ns       |
| reachable_set .........................................................  | 28.61ms   | 0.003           | 13.09s   | 1          | 101        | 0.00ns       |
| metadata_decode_entry_impl_trait_header ...............................  | 27.93ms   | 0.002           | 27.93ms  | 19142      | 0          | 0.00ns       |
| promoted_mir ..........................................................  | 27.51ms   | 0.002           | 69.76ms  | 492        | 7462       | 0.00ns       |
| impl_super_outlives ...................................................  | 27.28ms   | 0.002           | 27.53ms  | 3739       | 3044861    | 1.77ms       |
| mir_pass_check_const_item_mutation ....................................  | 26.99ms   | 0.002           | 26.99ms  | 20934      | 0          | 0.00ns       |
| item_bounds ...........................................................  | 25.50ms   | 0.002           | 25.55ms  | 3315       | 40724      | 21.76µs      |
| fn_arg_idents .........................................................  | 25.19ms   | 0.002           | 25.19ms  | 8017       | 0          | 0.00ns       |
| mir_pass_simplify_cfg_make_shim .......................................  | 25.11ms   | 0.002           | 25.11ms  | 21425      | 0          | 0.00ns       |
| mir_pass_single_use_consts ............................................  | 24.98ms   | 0.002           | 24.98ms  | 20232      | 0          | 0.00ns       |
| item_self_bounds ......................................................  | 24.35ms   | 0.002           | 238.54ms | 3434       | 209472     | 0.00ns       |
| associated_item .......................................................  | 24.26ms   | 0.002           | 55.44ms  | 10991      | 749366     | 76.59µs      |
| variances_of ..........................................................  | 24.08ms   | 0.002           | 47.43ms  | 4355       | 1146138    | 30.04µs      |
| associated_items ......................................................  | 21.66ms   | 0.002           | 67.57ms  | 4899       | 465336     | 2.37ms       |
| mir_pass_lower_slice_len_calls ........................................  | 20.17ms   | 0.002           | 20.17ms  | 20232      | 0          | 0.00ns       |
| hir_attr_map ..........................................................  | 18.94ms   | 0.002           | 18.94ms  | 15265      | 3224290    | 0.00ns       |
| mir_pass_simplify_comparison_integral .................................  | 18.58ms   | 0.002           | 18.58ms  | 20232      | 0          | 0.00ns       |
| complete_gated_feature_checking .......................................  | 18.33ms   | 0.002           | 18.33ms  | 1          | 0          | 0.00ns       |
