+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| intrinsic_raw .........................................................  | 12.33ms   | 0.001           | 12.54ms  | 9820       | 1654897    | 23.26µs      |
| check_mod_deathness ...................................................  | 11.97ms   | 0.001           | 1.04s    | 102        | 0          | 0.00ns       |
| metadata_register_crate ...............................................  | 11.86ms   | 0.001           | 31.10ms  | 140        | 0          | 0.00ns       |
| associated_item_def_ids ...............................................  | 11.82ms   | 0.001           | 27.59ms  | 4506       | 24511      | 0.00ns       |
| type_of_opaque ........................................................  | 11.36ms   | 0.001           | 23.53s   | 3322       | 10856      | 0.00ns       |
| type_of_opaque_hir_typeck .............................................  | 10.53ms   | 0.001           | 10.53ms  | 3305       | 3305       | 0.00ns       |
| is_mir_available ......................................................  | 9.33ms    | 0.001           | 11.24ms  | 19886      | 561533     | 0.00ns       |
| mir_pass_remove_place_mention .........................................  | 9.05ms    | 0.001           | 9.05ms   | 23036      | 0          | 0.00ns       |
| proc_macro_decls_static ...............................................  | 8.74ms    | 0.001           | 8.74ms   | 1          | 18927      | 0.00ns       |
| late_bound_vars_map ...................................................  | 8.69ms    | 0.001           | 257.74ms | 8124       | 38394      | 0.00ns       |
| erase_regions_ty ......................................................  | 8.64ms    | 0.001           | 10.18ms  | 9360       | 347499     | 0.00ns       |
| crate_variances .......................................................  | 8.37ms    | 0.001           | 37.51ms  | 1          | 101        | 0.00ns       |
| finalize_macro_resolutions ............................................  | 8.00ms    | 0.001           | 8.05ms   | 1          | 0          | 0.00ns       |
| impl_self_is_guaranteed_unsized .......................................  | 7.68ms    | 0.001           | 20.78ms  | 2311       | 0          | 0.00ns       |
